1, 0., 1., 7.
2, 0., 1., 0.
3, 0., 2., 0.
4, 0., 2., 7.
5, -0.587785244, 0.809017003, 7.
6, -0.95105654, 0.309017003, 7.
7, -0.95105654, -0.309017003, 7.
8, -0.587785244, -0.809017003, 7.
9, 0., -1., 7.
10, 0.587785244, -0.809017003, 7.
11, 0.95105654, -0.309017003, 7.
12, 0.95105654, 0.309017003, 7.
13, 0.587785244, 0.809017003, 7.
14, -0.587785244, 0.809017003, 0.
15, -0.95105654, 0.309017003, 0.
16, -0.95105654, -0.309017003, 0.
17, -0.587785244, -0.809017003, 0.
18, 0., -1., 0.
19, 0.587785244, -0.809017003, 0.
20, 0.95105654, -0.309017003, 0.
21, 0.95105654, 0.309017003, 0.
22, 0.587785244, 0.809017003, 0.
23, -0.589510322, 1.91114557, 0.
24, -1.12664008, 1.6524775, 0.
25, -1.56366301, 1.24697959, 0.
26, -1.8617475, 0.730682075, 0.
27, -1.99440765, 0.149460182, 0.
28, -1.9498558, -0.445041865, 0.
29, -1.73205078, -1., 0.
30, -1.36034548, -1.46610379, 0.
31, -0.867767453, -1.8019377, 0.
32, -0.298084527, -1.97766161, 0.
33, 0.298084527, -1.97766161, 0.
34, 0.867767453, -1.8019377, 0.
35, 1.36034548, -1.46610379, 0.
36, 1.73205078, -1., 0.
37, 1.9498558, -0.445041865, 0.
38, 1.99440765, 0.149460182, 0.
39, 1.8617475, 0.730682075, 0.
40, 1.56366301, 1.24697959, 0.
41, 1.12664008, 1.6524775, 0.
42, 0.589510322, 1.91114557, 0.
43, 0.589510322, 1.91114557, 7.
44, 1.12664008, 1.6524775, 7.
45, 1.56366301, 1.24697959, 7.
46, 1.8617475, 0.730682075, 7.
47, 1.99440765, 0.149460182, 7.
48, 1.9498558, -0.445041865, 7.
49, 1.73205078, -1., 7.
50, 1.36034548, -1.46610379, 7.
51, 0.867767453, -1.8019377, 7.
52, 0.298084527, -1.97766161, 7.
53, -0.298084527, -1.97766161, 7.
54, -0.867767453, -1.8019377, 7.
55, -1.36034548, -1.46610379, 7.
56, -1.73205078, -1., 7.
57, -1.9498558, -0.445041865, 7.
58, -1.99440765, 0.149460182, 7.
59, -1.8617475, 0.730682075, 7.
60, -1.56366301, 1.24697959, 7.
61, -1.12664008, 1.6524775, 7.
62, -0.589510322, 1.91114557, 7.
63, -0.587785244, 0.809017003, 6.36363649
64, -0.95105654, 0.309017003, 6.36363649
65, -0.95105654, -0.309017003, 6.36363649
66, -0.587785244, -0.809017003, 6.36363649
67, 0., -1., 6.36363649
68, 0.587785244, -0.809017003, 6.36363649
69, 0.95105654, -0.309017003, 6.36363649
70, 0.95105654, 0.309017003, 6.36363649
71, 0.587785244, 0.809017003, 6.36363649
72, 0., 1., 6.36363649
73, -0.587785244, 0.809017003, 5.72727251
74, -0.95105654, 0.309017003, 5.72727251
75, -0.95105654, -0.309017003, 5.72727251
76, -0.587785244, -0.809017003, 5.72727251
77, 0., -1., 5.72727251
78, 0.587785244, -0.809017003, 5.72727251
79, 0.95105654, -0.309017003, 5.72727251
80, 0.95105654, 0.309017003, 5.72727251
