1, 430, 72, 431, 432
2, 430, 431, 218, 432
3, 430, 433, 219, 199
4, 219, 196, 4, 218
5, 195, 196, 4, 219
6, 430, 431, 196, 218
7, 434, 435, 70, 436
8, 339, 115, 338, 437
9, 434, 184, 182, 12
10, 434, 438, 69, 435
11, 434, 11, 184, 12
12, 438, 185, 183, 11
13, 438, 183, 204, 48
14, 434, 435, 69, 70
15, 438, 183, 184, 11
16, 438, 435, 204, 439
17, 440, 20, 441, 173
18, 174, 172, 36, 415
19, 440, 442, 441, 159
20, 345, 122, 443, 444
21, 445, 192, 59, 58
22, 446, 447, 425, 448
23, 167, 449, 165, 422
24, 446, 450, 155, 448
25, 446, 450, 27, 166
26, 451, 410, 452, 409
27, 453, 454, 444, 112
28, 453, 303, 455, 283
29, 453, 454, 303, 324
30, 454, 453, 444, 324
31, 53, 54, 188, 456
32, 456, 66, 457, 458
33, 456, 197, 186, 9
34, 456, 459, 186, 208
35, 53, 456, 208, 209
36, 456, 459, 209, 457
37, 460, 211, 55, 56
38, 460, 211, 461, 458
39, 460, 462, 191, 7
40, 460, 462, 65, 463
41, 460, 462, 463, 213
42, 460, 191, 212, 56
43, 460, 191, 462, 213
44, 445, 215, 464, 465
45, 445, 59, 464, 215
46, 445, 214, 58, 59
47, 445, 64, 6, 190
48, 214, 58, 462, 445
49, 466, 420, 169, 31
50, 466, 419, 467, 468
51, 445, 465, 64, 469
52, 16, 165, 155, 450
53, 167, 155, 165, 449
54, 450, 165, 423, 28
55, 446, 448, 155, 154
56, 450, 16, 165, 166
57, 450, 448, 423, 449
58, 466, 467, 419, 32
59, 466, 168, 17, 18
60, 466, 467, 18, 157
61, 435, 436, 223, 470
62, 157, 467, 170, 471
63, 471, 467, 170, 418
64, 467, 468, 471, 157
65, 467, 18, 170, 168
66, 467, 170, 419, 32
67, 460, 461, 66, 458
68, 462, 58, 213, 57
69, 460, 463, 461, 212
70, 462, 58, 214, 213
71, 462, 213, 191, 57
72, 462, 190, 191, 7
73, 472, 186, 187, 10
74, 472, 10, 185, 11
75, 438, 472, 439, 205
76, 472, 186, 459, 207
77, 187, 185, 50, 206
78, 472, 459, 439, 206
79, 473, 338, 115, 474
80, 474, 297, 475, 105
81, 476, 316, 337, 336
82, 474, 315, 294, 295
83, 474, 437, 116, 337
84, 476, 315, 474, 316
85, 474, 475, 296, 295
86, 477, 478, 130, 131
87, 479, 480, 260, 259
88, 479, 481, 261, 260
89, 479, 482, 102, 93
90, 479, 480, 481, 260
91, 483, 128, 484, 485
